Plate,Well,Site,Blurry,Saturated
33088,E08,3,1,0
33088,K14,3,1,0
33088,N02,3,1,0
33088,L23,5,1,0
33088,G15,3,1,0
33088,M04,5,1,0
33088,L22,1,1,0
33088,D09,1,1,0
33088,H03,1,1,0
33088,M18,1,1,0
33088,E08,4,1,0
33088,C24,5,1,0
33088,G02,1,1,0
33088,F02,5,1,0
33088,J20,1,0,1
33088,G03,6,0,1
33088,G15,4,1,1
33088,J03,4,1,0
33088,B23,6,1,0
33088,K14,4,1,0
33088,N02,4,1,0
33088,E08,5,1,0
33088,L22,2,1,0
33088,G19,1,1,0
33088,H03,2,1,0
33088,D09,2,1,0
33088,G02,2,1,0
33088,G15,5,1,1
33088,L22,3,1,0
33088,F02,6,1,0
33088,L04,1,1,0
33088,C10,1,0,1
33088,M18,3,1,0
33088,C01,4,0,1
33088,G19,3,1,0
33088,H03,3,1,0
33088,J03,6,1,0
33088,J02,1,1,0
33088,N02,6,1,0
33088,B15,5,0,1
33088,M10,1,1,0
33088,G15,6,1,0
33096,C20,5,1,0
33088,L22,4,1,0
33088,G19,4,1,0
33088,I01,1,0,1
33088,M18,4,1,0
33096,B19,5,1,0
33096,C14,1,1,0
33088,C10,2,0,1
33096,B08,1,1,0
33088,H03,4,1,0
33096,C17,3,1,0
33096,C15,5,1,0
33096,D05,1,1,0
33096,F02,1,1,0
33088,G02,4,1,0
33096,D03,3,1,0
33096,C20,6,1,0
33088,D09,4,1,0
33088,L04,3,1,0
33088,G16,1,1,0
33096,G03,1,1,0
33088,M10,2,1,0
33096,L04,5,1,0
33088,L22,5,1,0
33088,N08,1,1,0
33096,D08,4,1,0
33096,K03,5,1,0
33088,J02,3,1,0
33088,G19,6,1,0
33088,H13,6,0,1
33096,I08,3,1,0
33088,A03,1,0,1
33088,M22,1,1,0
33088,M18,5,1,0
33096,M02,3,1,0
33096,M04,1,1,0
33096,B08,2,1,0
33088,H03,5,1,0
33096,N03,3,1,0
33088,I21,3,0,1
33096,J02,6,1,0
33096,C14,3,1,0
33096,F02,2,1,0
33096,B06,4,1,0
33088,L04,4,1,0
33096,D03,4,1,0
33096,C17,4,1,0
33088,G16,2,1,0
33096,B16,4,0,1
33096,D05,2,1,0
33088,L22,6,1,0
33096,D08,5,1,0
33096,L04,6,1,0
33088,M02,1,1,0
33096,G03,2,1,0
33088,M10,3,1,0
33088,H03,6,1,0
33088,J02,4,1,0
33088,M18,6,1,0
33096,K03,6,1,0
33088,M22,2,1,0
33088,N08,2,1,0
33088,G15,1,1,1
33096,I08,4,1,0
33088,L19,4,1,0
33088,D23,1,1,0
33096,G15,1,1,0
33088,A11,4,0,1
33088,F22,1,1,0
33088,K07,1,1,0
33096,B08,3,1,0
33096,M02,4,1,0
33096,N03,4,1,0
33096,C14,4,1,0
33088,G08,1,1,0
33088,G15,2,1,0
33096,M04,3,1,0
33096,B05,1,1,0
33088,G16,3,1,0
33088,L23,1,1,0
33096,O22,6,1,0
33096,D03,5,1,0
33088,M02,2,1,0
33088,J02,5,1,0
33096,L05,1,1,0
33096,F02,3,1,0
33088,M22,3,1,0
33096,C23,1,1,0
33088,M04,1,1,0
33096,J03,1,1,0
33088,M10,4,1,0
33115,G02,3,1,0
33096,G03,3,1,0
33088,C02,1,1,0
33096,G15,2,1,0
33088,N08,3,1,0
33088,K07,2,1,0
33088,E04,3,0,1
33096,B08,4,1,0
33088,G08,2,1,0
33115,C21,5,1,0
33115,E08,5,0,1
33115,C06,5,1,0
33115,D06,1,1,0
33115,B04,1,1,0
33088,B23,1,1,0
33096,C14,5,1,0
33096,M11,1,1,0
33088,G16,4,1,0
