"","Protein.1","Protein.2","Method","Type","Evidence"
"1","ATF4","JUN","Reconstituted Complex","physical","Hai T (1991)"
"2","JUN","ATF4","Two-hybrid","physical","Bandyopadhyay S (2010)"
"3","NFKBIA","ATF4","Two-hybrid","physical","Gao J (2008)"
"4","ATF4","JUN","FRET","physical","Reinke AW (2013)"
"5","ATF4","CEBPA","FRET","physical","Reinke AW (2013)"
"6","ATF4","DDIT3","FRET","physical","Reinke AW (2013)"
"7","JUN","ATF4","FRET","physical","Reinke AW (2013)"
"8","CEBPA","ATF4","FRET","physical","Reinke AW (2013)"
"9","DDIT3","ATF4","FRET","physical","Reinke AW (2013)"
"10","DDIT3","ATF4","Two-hybrid","physical","DeGrado-Warren J (2008)"
"11","ATF4","JUN","Co-localization","physical","Chen TC (2014)"
"12","TBK1","TRAF2","Affinity Capture-MS","physical","Bouwmeester T (2004)"
"13","NFKB1","TBK1","Affinity Capture-MS","physical","Bouwmeester T (2004)"
"14","TBK1","REL","Affinity Capture-MS","physical","Bouwmeester T (2004)"
"15","TRAF2","TBK1","Affinity Capture-Western","physical","Bonnard M (2000)"
"16","TRAF2","TBK1","Affinity Capture-MS","physical","Behrends C (2010)"
"17","TBK1","TRAF2","Affinity Capture-MS","physical","Li S (2011)"
"18","TRAF2","TBK1","Affinity Capture-MS","physical","Li S (2011)"
"19","TRAF2","TBK1","Affinity Capture-Western","physical","Shen RR (2012)"
"20","TRAF2","TBK1","Affinity Capture-Western","physical","Zhang W (2010)"
"21","TBK1","NFKBIA","Biochemical Activity","physical","Zhang W (2010)"
"22","AKT1","TBK1","Affinity Capture-Western","physical","Joung SM (2011)"
"23","TBK1","AKT1","Affinity Capture-Western","physical","Joung SM (2011)"
"24","TBK1","AKT1","Biochemical Activity","physical","Joung SM (2011)"
"25","CDKN1A","CDK2","Affinity Capture-Western","physical","Ono T (2000)"
"26","CDKN1A","CDK2","Affinity Capture-Western","physical","McKenzie PP (2003)"
